language,sentences
fr,outes lespuces de mon lit lui ressemblas
en,a lock of Medusa's hair.The wench immedi
fr,"c le plus grandsang-froid, votre requête"
en,to himself at thecovetous thought of all
es,"in hablar palabra, se fueron los dos esc"
fr,rien de contraire au service de mon roi 
en,complexioned gentleman with a hairy body
es,dicho libro que desuso se hace mención; 
fr,e coupe cent cinquante livres dechair pa
fr," Plongé dans le sommeil, notre héros éta"
es,"ote, perdonalle y reducille al gremio de"
es,porentretenimiento en el pueblo los amor
es,s.Capítulo LVII. Que trata de cómo don Q
en,e sage Merlin would allow each of these 
fr,urez qu'une figue.Elle serait du moins b
fr,"le justice, comme ysont obligés tous pri"
fr,e l'autre main celle du captif: Essuyez 
es,"de la Mancha, llamado donQuijote, y es m"
fr,", que ce mauvais histrionm'aura échappé,"
es," esto es lo que sabe, yno otra cosa, en "
fr,"Provence, un Cid, et d'autreschevaliers "
en, for the strange lady--whose face was co
fr,e m'entendîtes pas. Je ramassai alors ce
en,same caliber as Rocinante--and was justt
fr,pres mains de façon qu'ils'en souviendra
es,guna culpa de losucedido.Con esto los ap
es,"rasco, comenzó a bailar y adecir:-¡A fee"
en, Dorothea was helped from her horse. She
fr," unmétier d'homme robuste, endurci, élev"
en,"n had tried on the knight, Don Quixote n"
es, riquísimos faldellines de tabí de oro.T
es,", su grandeza, su contoneo, sunegrura y "
en,"ll show you!"" Andbefore his master had a"
es, había otra luz que la que dabauna lámpa
fr,"ne pouvait atteindre Lothaire, ouplutôt "
fr,ie que nous en oubliâmes toutes nos disg
es,recía cada azote de aquéllos ser pagado 
en,nationseemed to remain a puzzle to the s
es, las otras comenzaron en loscampos de Mo
fr,"mal à une fourmi; de plus, il est si naï"
fr,ans sa maison. A la fin pourtant lesquer
fr,montagnard. Nos amours ne furent pastout
fr,"utrequ'à un muletier, il s'imagina tenir"
fr,t au bas du trophée des armes de Roland:
fr,"faire le grandAristote lui-même, fût-il "
en,on after nightfallthere arrived in the g
es, todo lo que en él venía. Guiábanle dos 
fr,"as peut-être tels qu'ils furent, maistel"
es,"a caliente, y, decamino, vaya rezando la"
en,allthat had occurred. They all seemed to
fr,"alomniées par les écuyers, et tourmentée"
fr,out je suis fidèle; il estdonc impossibl
fr,te (p. 87).]Qu'est-ce que j'entends? dem
es,é andabadescontenta y me obligasen a bus
es,te de la ManchaGrandes fueron y muchos l
es,"ían allícomo nacidos.-Yo lo creo, amigo "
es,"n infinitos, llenos deenamoradas razones"
es," Quijote; y, aunque él pugnaba por levan"
en,ve eliminated some of the cruel thrashin
es,"a, no ibanseguros dél, sino que temían q"
fr,"nt en véritablechevalier errant, ce qui "
es,la humildad con quemi alma te adora.-¡To
en, in disguise--sat on hisright. All were 
es,"y así, me parece que, como a dogmatizado"
es,"orazón y eldespertador de tu alma, porqu"
es,"r caballero -dijo don Quijote-, y escuch"
fr," mort de Chrysostome. Veuillez donc,seig"
fr,eau chapitre.CHAPITRE XXXIIDE LA RÉPONSE
es,"pongamos en camino, porque ya hoy se pod"
en,olent signs to him to get away from ther
fr," qui t'aime sitendrement, et dont l'âme,"
fr,vons déjàdépensés; car si Dieu m'avait a
fr,nesongeait plus qu'à repasser le détroit
es, sacarle a vistas con aquel su estrecho 
es,"or y de tucortesía; y así, has de saber "
fr,s de cette femme et de l'air dontelle le
fr,"rifaldi, autrement appelée la duègneDolo"
es,"ficio de alcahuete, que es oficio de dis"
es, y recatado corazón como el mío.Llamé a 
fr, que pour lui il n'existait pas au monde
en, shrewd aswell; but Don Quixote broke in
fr,"orte? pourvu qu'elles soientbonnes, et e"
es,"so de una hormiga.-Haz, Sancho, la averi"
en,"reparesomething hot for breakfast, and o"
es," ofrecerle, porque las mías las tengoent"
fr, ces misérables: comment se pourrait-il 
es,a. Advierte que lo que aventuras a ganar
es,", como otras veces solía, él seencerró e"
fr," paroles, Basile tira une courte épée qu"
fr,"i dîmes que c'étaient sesimages, et le r"
es,narbolandouna horquilla o bastón con que
fr,sage de ces dames en l'étatoù il est.A d
en,of the sweet Duchess for him andtell her
es,o;que con sus abrasadas cenizas y con el
fr,", ils ne sont pointnon plus tireurs d'ho"
fr, qui conduisaient le troupeau crièrent d
fr, la duchesse et don Quichotte parurent f
fr,arrivé s'il n'eût àl'instant embrassé le
fr,aient bâties dans depareils endroits?Sei
es,"dos manos, con buena fe y mejortalante, "
fr,t qu'il le châtiait pour des négligences
fr,ion avant la chute du jour; mais le sole
fr," périlleuse, cette prouesse? demanda San"
fr,ne grande récompense pour celui quiindiq
fr,"is comme il est trop jeune pourcela, et "
es,y lo que comí y bebí y dormí encasa de B
es,"os que el pastor llevaba, esperando siem"
fr,"ger des disgrâces qui m'arrivent, d'auta"
es, que la puso en más confusión que primer
fr,r récompenses de leurs services. Quant à
es,ría la decencia de un tal caballero como
es,"ués que me partí de nuestrolugar, por ob"
en,"attracted his attention, and he immediat"
es,"o toda la noche, sin pegar pestaña, ¿ser"
fr,"te, et qui me semble plus cruelle encore"
fr,"uichotte, et ne t'inquiète pas dureste. "
fr,"s gens qui mangeaient, et après lesavoir"
en,.The curate was the first one to reach h
es,"rada, la pierna quebrada, y en casa; y l"
es,"espondió el primo-, porque Adán no hay d"
fr,"e temps une vivacité de coloris, un char"
es,"r de sus calientes rayos, las líquidas p"
es,"ndió que la impensada, la de repente y n"
es,enme si cuando vamos por esas altanerías
fr,"'il croit voir des ennemis, ses coups to"
en,ollowedby a man on horseback as if he ha
es,mplado tambor. Todos mostraron alborotar
fr,"vincible, il se serait mille fois coupé "
es,uchoentendimiento no atribuyeron a ignor
fr," ou, pour lemoins, en donnant à penser, "
es,on don Quijote de la Mancha. El visorrey
es," uno, especialmente de su español, en qu"
fr," sûreté, dit la Trifaldi; car, quoique M"
fr,"ellesorte, qu'il réussit à rendre le dir"
fr,"d vous l'aurez tué, car je ne doute pas "
es,reción poderdisimular la risa; las donce
fr, toutesles façons: telle entre autres la
es," Palomeque elZurdo. Así que, señor, el n"
fr, lui proposa de la transcrire lui-même; 
es,"o esto, Sancho, porque bien has vistoel "
es,"te-, tú eres, Sancho, el mayor glotón de"
fr,"s saints, détestable Sancho, s'écria don"
es,uien estabaenamorado hasta los hígados.Q
fr,"s debâton, justement critiqués peut-être"
fr," inutile, reprit la Doloride, je me rend"
fr," velours fauve, et sur la têteune _monte"
fr," versde sa façon, qui prouvent combien i"
fr,l'autre pour s'assurer qu'il n'y avait a
fr,peu de chose me suffit; LES ARMES SONT M
es,uien tiene frío de cuartana; y creció má
es,"e son éstas, las que aquí vienen,resplan"
es,"hicemuchas amistades, y que le quité de "
es," QUIJOTE DE LA MANCHASoneto   Maguer, se"
en,".""""Thou talkest in this way because thou"
es," todas sus entradas y salidas, y más con"
fr,"aux réponses de la tête enchantée,dont i"
es,la mujer del juez recibiere ha dedar cue
en,"heyburst into tears, and the curate and "
es," alto de cuerpo, blanco de rostro, bien "
en,"thea shouldcontinue playing her part, an"
es,y lugares de los nuestros reinos y señor
fr,mme le chapelain pouvaitd'ailleurs s'en 
es,de vas a engolfarte; que los oficios ygr
es,", y con buenas ycorteses palabras le he "
es,"u ley es suespada; sus fueros, sus bríos"
fr,"chent de tropprès.Je suis née libre, et "
fr,ur dans la personne d'un fameux chevalie
fr,NEMENTS ON NE PEUT PLUS DIGNES DE MÉMOIR
fr,"ant, denous réfugier dans quelque église"
fr,"xcellente et vertueuse dame, et il n'y a"
fr, je ne pensepas qu'il y ait dans ce pays
es," la mano; no latratéis tan mal, pues ell"
es,pelear por fuerza con leones?Destas imag
fr,qui notre écuyer demanda s'il y avait mo
fr,a à partir pour les Indes; le plus jeune
fr,"plaisantât si librement, lève sa lance, "
fr," ses gestes, tous ses mouvements, afin d"
fr,"Fernand, avantqu'il s'éloignât, que puis"
es, al vivo un asno como un pequeño sardesc
en,particularly interested in what Don Quix
es,"rse los labios, enarcar las cejas y deja"
fr,de votre bras pour remonter sur letrône 
fr,"s moyen d'être obéi.Par ma foi, il faut "
fr,"t attendri. Sancho pleura toutde bon, et"
es,osestraños quien nos albergase y recogie
es," desta esgrima, y el juez desta muchas v"
es, panegírico de la noche antes.-Por ciert
fr,"point une gueuse, repartit Sancho avec h"
fr,avec unechaîne qui faisait voir que je t
es,lehabía dado la mía; que yo viniera y co
fr, voyant Sancho parti sans en attendre la
es,e estudiante.-Así me ha parecido a mí -r
es, propósito firme tratados los amores que
fr,ins tout ce que madameDulcinée m'a jeté 
es," freno, su lanza arrimada a unárbol, y, "
en,"mained only a possibility.Yet, inspired "
es,"tu compadre, por quitarme lagloria del v"
fr,"aleresque, notre héros poursuivait son c"
es,"la adorada enemiga mía? ¿No será mejor, "
fr,iand de blanc-manger et de petites andou
es, ejecutado en mi persona yen la de mis h
fr,"i, l'âne dépérit. Ainsi, pour rétablir e"
fr,en épargné.Pendant que don Quichotte qui
es,"rodeaban a don Fernando, suplicándoletuv"
es,"er. Cayó Rocinante, y fue rodando su amo"
en," thebetter they smell!"" The others he ad"
es,"nos; que, puesto que el mono de maese Pe"
fr,"i: la première, c'est la défense de la f"
fr,rt.Comment! on t'a gourmé aussi? demanda
es,ancho.La Dolorida respondió:-Dos persona
es,"r en su plática, y él fue diciendo:-Esto"
fr,etqu'enflant les voiles de nos désirs el
fr," délivrance de don Gaspar, prit congé de"
fr,"l personnage, au lieu d'aiguières d'or e"
fr,"roi, et à me faire comte.Sois tranquille"
fr,éloquentes pour s'assurer de mabienveill
es," al Emperador de Trapisonda, de quien yo"
fr,ia de l'autrecôté de la muraille: Mon fi
es,ed que mi oficio no es otro sino valer a
en,lated that hismaster was to do all the f
fr,ui avait fait la grâce de luirendre la r
es,"ñora Dulcinea? No, por cierto, niaun con"
es,"go, que no me dejará mentir, pues, por m"
en,re.In the course of these descriptions t
es," la otra se fueron, muertas de risa, y l"
en,"thing but fables and falsehoods, andthat"
en,d him to such anextent that for a moment
es,"e me place -respondió el barbero.Y, sin "
fr,"e, pourquoi vouloir que j'aime quand je "
es,"sde los altos montes de la luna, yaquel "
es,"Toboso; y, en pago del beneficio que de "
fr,fiter de l'occasion. Et ne serait-il pas
fr,"é de leurjeune maître, les valets convin"
fr, la bonne heure; sinon je vous baise les
fr,"rt.Ne vous y fiez pas, seigneur, répondi"
en,H;TOGETHER WITH THE HAPPILY ACHIEVED ADV
en,andencouraging to the author if he shoul
es,"ando sus razones a la Doloridadueña, dij"
en,"le life heard him evenspoken of, much le"
fr,en sens pas le besoin.Usant de la permis
es,o.»Apenas serían dos horas pasadas de la
fr,rète élevala voix en disant: Cette histo
fr,auditeur aurait peut-êtrequelque honte d
es,"ue hizo, dijo y pensó, haré el bosquejo,"
es,"r armadas y deshacer encantamentos. Y, p"
fr,ant quele dessous de la porte n'était pa
en,"ts to the leather wine-bag, which had be"
fr,on vit régner le calme et la douceur del
fr,les saints: c'est l'édifice le mieux con
fr,"ute l'âme de Lothaire dans sesyeux, dans"
fr,ses projets.Le chanoine répondit qu'il s
fr, fait place à une série demystifications
es,", parece bien por estremo, porque tiene "
fr, pas àla revoir portant un coffre rempli
fr,ous ne pouvions arriver jusqu'où sont le
es,"Ah! -dijo Anselmo-, Lotario, Lotario, y "
es,esla más apuesta y fermosa doncella que 
es,"lla gente estuviese.Llegó, en esto, uno "
fr,ientôt après juste aumoment où le cheval
es,era opinión; pero noquiso interromper el
es," debe de hallaren el mundo, en el cual h"
es,ayan rebuznado; porque tan a pique está 
fr," en espace, étaient étendus degrands dra"
es,"o donRoldán no se la quiere prestar, ofr"
fr,"ce-roi, avait tenu les yeux cloués sur l"
en,herstatement of his in the book.When San
fr,"ent pris l'argent.Tu as raison, dit don "
fr,"eurchevalerie, ils lui payeraient jusqu'"
fr,"i dit: Ami Sancho, voici sans douteune g"
fr,e voulut pas différer pluslongtemps de m
es, qué mono traía. A lo que respondió el v
fr,"it d'elle, et quand il lui eut fait comp"
es,"orque, si mal no meacuerdo, dijiste que "
fr,"eugle et impertinent vulgaire,à qui s'ad"
fr," Où courez-vous, seigneur donQuichotte? "
es,"ellas tienen;y así, temo que, en aquella"
en,f had the same opportunity heshould not 
fr,oment était propice. La grande querelle 
es," mevolteaban, tenían sus nombres: que el"
fr,dit.Il s'en fut trouver Sancho (p. 78).]
es,"tólico, en lo quequería escribir de don "
fr,"ule avait fait d'Antée, ce féroce géant "
en, plainly see that the man'shorse was an 
fr,"t effroyable géant, dis-je, me sachant o"
es,"adelantehasta cantidad de doce dueñas, r"
fr,"osenouvelle, et qu'on n'a peut-être jama"
en,"of the Lions!--his bravery, his generosi"
es,ebistes de oírme. Fui recogiendola soga 
es, con lamesma se pusieron luego todos en 
fr, l'avoir vue quand il me prit fantaisie 
fr,e et resta commefrappé de mort. Malgré s
en,stible. As soon as the Duchess' wish was
fr,ant perdu laraison. Cet homme avait pris
fr,amenerl'âge d'or dans ce maudit siècle d
fr,raiter comme lui-même. Cetordre contrari
fr,es. Pendant que Luscinde et Dorothée ent
fr,ans cesgouvernements quelque croc-en-jam
es,"as"", y otros: ""De lascosas de don Quijot"
en," the Second Part was a stupid character,"
en,"e by some means or other, for unless the"
fr,tte de la Manche; car à l'accent et à la
fr,"ond silence, qu'un de ceux quiavaient ap"
fr,"pelait don Quichotte de la Manche,surnom"
en,"f the traders, who appeared to him to be"
en,nd most bloodthirsty in the world. Then 
es,o de la celosa rabia quelas entrañas le 
es,ntraria de lo que nos muestra la mismave
en,the oars--stripped to the skin by thecap
es,"s bien criado -respondió don Quijote-, s"
fr,"grande, que vous ne trouverezni remède p"
es, agora se usan como aquellos de los desi
en,"the bargain.""O blessed Sancho! O dear Sa"
en, strangeappearance of Don Quixote; and w
fr,ra Rodriguez; etpuisqu'il consent à m'ép
fr,xploits font pâlir les fabuleuses histoi
fr,"s les étudiants soientpauvres, mais pour"
es,tado un enamoradodestraído y en otro hac
es," por un muslo, y si topares cosa viva, s"
fr,mson Carrasco et à cet égard le bon Sanc
es,"as de coserse la boca, o morderse laleng"
es,"sillesco que se atrevió, o se ha de atre"
fr,it éteinte et mesyeux ne voyaient plus. 
fr,".Sancho, qui achevait de se débarrasser "
es,"jos, que no tienencuento, ni yo sé cuál "
en,shed. To our knight that seemed like tak
fr,ême qu'on a commencé de l'imprimer àAnve
es,"edice que, habiendo cogido al Caballero "
es,"s, o, por lo menos, primo segundo de emp"
fr,et Dieu veuille faire de moi une  femme 
fr,"i l'espoir, Dieu aidant, que le pouvoir "
es,redes a la buena ventura.Respondió por t
es,"ber siempre y hallarla a media noche, no"
en, would be no chance for him toredeem the
es,"a juzgarde la locura de don Quijote, sin"
es,"arece que sabes mucho destas cosas, yno "
es, -respondió Sancho-; y soy quien la mere
fr,que cette seconde partie de _Don Quichot
fr,monde aurait eu peine à lereconnaître. I
fr,"prochant dugrison, il le prit tendrement"
fr,"ue le comté vienne, et adieu jusqu'au re"
es,ermosuraatrae los corazones de los que l
es,e ha venido a la memoria dónde será bien
fr,n une tige de roseau;celui qui était san
fr, fois reçu une offense et un affront: un
en,y the curate and the barber decided to p
es, todo el mundo en querer volver cuerdo a
fr,"peintre me rappelle celuid'Ubeda[131], q"
fr,e. C'est là qu'il vit pour la premièrefo
es,"l cura, elcanónigo y el barbero. Desunci"
es,uardar la decencia y decoro que a tan he
fr,mble entendre murmurer à mes oreilles un
es, nos señalas   la justa paz cubierta con
es,ejame duele más de lo que yo quisiera.Sa
fr,qu'on dise ce qu'on voudra. Qui prétendr
fr,"père, me voyant plus inquièteque de cout"
fr,"ces vertus, chacun, mêmeen sachant sa dé"
es,"loentrara, y de la suerte que estamos no"
fr,  explique-moi par signes ce que tu aura
es,"e encantamento, como él lo habíaprobado "
es,a belleza de mi faz; y si por mí no quie
es,"eles, con gran reposo alzó don Quijote l"
fr,gnore ce que cela signifie; je  m'imagin
es,"cir verdad, a no venir los corales y el "
en,"he, Don Quixote, would chastise them for"
es,"ya se sabe su valentía.Es, pues, el caso"
fr," et à leur manière de vivre, les élève b"
fr,"tienne. Aussi, quand je ne serais point "
fr," apprîmes cette aventure, nous nous mîme"
es,"jote, comió algo, y Sancho mucho, y echá"
fr,", c'est qu'il se fourvoie sur un point c"
en,"DREAMT-OF ADVENTURE OF THE WINDMILLS, WI"
es,"ue más me admiró fue que les servían, en"
es,"; y con esto se salió del juzgado,llevan"
es,an; pero queél se los había vuelto de su
fr,e chevalier aperçoit ensuite une élégant
en," could be nothing but a prank, planned b"
fr,uis mis en tête de le ramener dans sa ma
fr,reté d'Antonomasie. Il les enchanta tous
fr,", attendez jusqu'au matin. D'après ce qu"
fr,sence de Dulcinée          Du Toboso.  P
fr, mon ressentiment ne se dissipe en vaine
es,os trabajos del estudiante son éstos: pr
fr," l'heure de midi, une jeunefemme toute e"
es,"esto prendas entre los dos, que leobliga"
fr,lant chevalier; s'il vient àreconnaître 
fr,                              235  XLIV.
fr,"pleine d'ironie et de tendresse, drame à"
es,"rsona, sus grandes fuerzas y mayor enten"
es,"e, que tan sinculpa suya habrá dado mate"
es," cosas todasjuntas, y cada una por sí, q"
fr,uelelle déclarait avoir donné sa foi à C
fr,"emanda l'hôtesse.Non pas, répondit Sanch"
fr," parents, ungentilhomme si noble, si ric"
es,uso que bramabacomo un toro; porque no e
fr,"lin, cela ne peut se passer ainsi:les co"
es,"a!Y, en esto, comenzó a llorar tan amarg"
en,ieved himself in the midst of areal batt
fr," gages, criait le jeune garçon. Son maît"
es,"azamiento fue el Roto, ydijo lo que se d"
fr,demanda à don Quichotte quelle nouvelle 
es,"nseñado.»Hecho esto, dieron orden en que"
es," que le mandaba,so pena de la su desgrac"
es,"ro don Quijote:-Señor, una golondrina so"
fr,il possible qu'on vole icicomme sur un g
es,"ue,a lo menos, saliese a pedirlo, y no a"
en,lt surewould be written about his noble 
es,"intención, yotras sí, sustentándola sobr"
fr, laissez là ces sornettes.Les sornettes 
es,"el jardín y asiéndole ambas lasmanos, le"
fr,cha  De mas despojos que Jason de Creta;
es,"a punto de muerte, y cuando no os me cat"
es,o. No había tierra en todo el orbe que n
es,"leonado, con una monteradel mismo tercio"
es,ue fue costumbre muy usada de loscaballe
es,"s cuentos acomodados a sus sucesos, porq"
fr,mbre deschèvres qui passaient la rivière
en,conclusion. The truth was that these men
fr,ut de ma résistance? Je ne me défends pa
es,"emporebuznaron, y cada uno engañado del "
es,iososCuenta la historia que las voces qu
es,e.-Ansí es y ansí será -dijo don Fernand
es,ma regla y razón corría por él como por 
fr,oins charmé de l'entrée d'une autretroup
fr,"our surcroît de preuves, cousin de mon â"
fr,"enttrois bonnes villes.Eh! l'ami, que di"
es,"bió grandísimo contento.Comieron, y desp"
fr,roit d'espérer les palmes et les laurier
es,"us armas, hecho del morrión celada, pues"
en,ugh he couldnot help meeting him; but as
es,iojos yles embista la hambre. Si los esc
fr,réries du monde.Se retirer n'est pas fui
fr,"uérir, car, enl'emportant sur les cheval"
es, de aliagas. Sintieron los pobres animal
fr, et de quel détestable artifice ils se s
es,"s cabellos, que más parecen disparates q"
es,"ed, para perpetua memoria. De las mías n"
fr,teries comme s'il en pleuvait. Sinon fai
es," responderé palabra, fermosa señora -res"
es,"ar mi sarta, y dar traza delvestido que "
es,ertad. El renegado le dijo en lenguamori
en,"aying worshippers. She, the renegade, an"
fr,"é, la tête emboîtéedans son morion, visi"
fr,ience. Il lui semblait que les roues du 
en,"e, with manyattendants. The girl thought"
fr,itique que Cervantes avait faite de sont
es,buscando tres pies al gato.-¡Vos sois el
es,"uesto, y escribe que, así como las dos b"
fr, pouvez vous désespérer et même vous pen
en,as greeted by the landlord and all thegu
fr,"s, il fait voile vers l'Espagne encompag"
fr, dormir. En disant cela ilcourut tenir l
en,ed his eyes he exclaimed in a voice of e
es,"jo, que si noha sido del cuerpo, ha sido"
en,shall give you added payment for that. N
fr,"tquoique j'aie fait de mon mieux, j'eus "
es,"ntables, y que del medio del lago sale u"
en, whose loss he could attribute to Don Qu
en,ernor the order for the ass-colts. He tu
en,thelad had attempted to lather his face 
en,"ent--all except Sancho, who could not he"
es,"uego Sancho se levantó de la mesa, y,lla"
es,"l ruido y pendencia, y decía:-¡Aquí del "
es, símesmas. Cuando oía decir que corrían 
es," a mí os enviaron que, pues están en un "
fr,"viendra, et il faut espérer que Dieu aur"
en,e has let me see such a thing with my ow
fr,"che la vie, et queje satisfasse ma venge"
es,"o el renegado español que se ha dicho, e"
es,"suyos, en partes y lugares donde ellos n"
fr,"t déposé le brancard, quatre d'entre eux"
fr,"nvoyé au moulin, que fit-elle en lisant "
es,"erdaderas tantas falsedades, pero no de "
es, de vuestros círculos y vuestros ángulos
fr,"sont en assez bon nombre, jen'ai jamais "
fr," l'hôtelier, l'emmène dans l'écurie, et,"
es,"do, y decir razones tandiscretas que bor"
es,nsón que ha de ir abuscarte y a sacarte 
es," que no quiero que en nada satisfagas,  "
fr,"i à propos: j'ai beau y songer, etquoiqu"
es,", porque pensar que yo he de volver a la"
es,"elo, que nos ha deparado una aventura qu"
fr,ns de quoi apaiser cette soif quinous to
en,","" which the curate fought for valiantly"
es,": bebo cuandotengo gana, y cuando no la "
es,":-Señor gobernador, yo y este hombre lab"
fr,uncompte de tes paroles.Ni moi de celles
es,rá para contároslo todo''.»Luego que los
en,"him a knight andgladly, that he too had "
en,"K-SADDLE IS FINALLY SETTLED, WITH OTHER "
fr,t tous sesefforts pour lui laver le visa
en,"anners so free and easy, and his deliver"
fr,"e tournantvers son écuyer, de tous les b"
es,usblancas manos -que sin duda eran blanc
en,"wo sonnets the captive had mentioned, he"
fr,"ée dans la Sierra-Morena, de la part de "
fr,eut le remplir de paille ou de foin. Les
es,ajase. Estas tan buenas partes de la her
fr,"ces, et tenir en même temps la campagne "
fr,"minuer. Tu sauras, Sancho, que si la vér"
es,"nme; si no,por Dios que lo arroje y lo e"
es," su llanto, como de primero; y túvole Sa"
es,"il...-No te entiendo, Sancho -dijo luego"
es, mejorde su quebrantamiento que se tuvo 
es,"se venía a más andar el alba, alegre y r"
es,rced que a mí me parece que estetal barc
es,"omicona, reina del gran reino Micomicón "
es,"aprovechándose della tan a propósito, qu"
fr, n'aura passatisfait beaucoup de gens.Au
es,a admiración de pensar dedonde podía ven
es," enfermedad de los celos, que ella jamás"
es, ellos mesmos soncausa de acrecentar su 
fr,le grand don Quichotte livré aux préoccu
es,anto no se estendió a turbartela vista n
fr,ne mine répond à la vigueurqu'annonce vo
fr,édiocrement le prédicateur et le sermon.
fr,"in de n'êtred'aucun secours, elle m'entr"
es,n el fuego de verse requerida y solicita
en,imselfand to eat plentifully. As soon as
fr,: l'égalité desbiens et de la naissance 
fr,"hoisis et réponds sur-le-champ, car je n"
es,"o; quete juro, por la fe de quien soy, q"
fr, et je remarquai fortbien que notre hôte
en,"leep. When he came to, he was in an exal"
es,casamientos se gozan ni duran mucho en a
fr,r rencontre un paysan quimarchait en tou
en,", and it was amusing tosee the tall and "
fr, ils n'en ont jamais peut-être entendu p
es,"a, o como llamarlaquisieren, era de tres"
fr,n'étant pas assez fort pour amortir la v
es,lisabat le fue y lefueron de mucho prove
fr,"ance.Cela est incontestable, dit le duc;"
es,"ndar, y abusos que mejorar ydeudas que s"
fr," le port, à la grande joie de Sancho, qu"
fr,quand tu sais que je ne suis pas resté d
fr, de rire quand je lui contai que vousavi
es,"; así que, dije bien que holgara, si Dio"
es,"truos, que se ven rarasveces. Pasaba mi "
fr,te demettre une muraille entre mes désir
es, elrebuzno de nuestros regidores. Dieron
es,"don Quijote maltrecho de la caída, y, re"
fr,"t sur Sancho, demandant à don Quichotte "
es,"si la hubieradicho que era fea o vieja, "
es,e en ninguna empresa hasta acabar lasuya
en,alone.The knight was so enraged and so h
fr,te; car je ne veux pas qu'onmaltraite le
es,"or, ¡qué tonto hubiera andado yo si hubi"
fr,ice et à l'envie des enchanteurs. Excuse
fr,"indre son but, quand l'autresans y songe"
es,"o es así,como debe de ser, bien boba fue"
fr," LOUANGE DE ROSSINANTE,  CHEVAL DE DON Q"
es, en lasepultura los cansados y ya podrid
es,; y cuando pasaba elAmor por delante del
es,"odos veces lo que vas diciendo, no acaba"
es,llaba muy bien con laabundancia de la ca
es, remedio podíaacometer desde allí adelan
es,oraron vuestros hermosos ojos!Escuchaban
fr,"upçon; loin de là, elle estsi sévère, qu"
es," don Quijote- que, ahechado por sus mano"
fr," la faute demon cheval, et non par la mi"
es,a narración de la desgracia de nuestroca
fr,"ni les moucherons de l'air, ni les vermi"
fr,"ême de l'avoir vue, et cela me fait oubl"
fr,ans considérerque c'est son parent et l'
es,"o he sido yo; y, creyendo queestá su sal"
es,"o de esos cascos!Pues dígame, señor: ¿pi"
en, swordappeared to have both strength and
es,e no la puedo castigar ni reñir: que el 
en,"reading the proofs of a book,and he turn"
es,"ersaba,porque lo que no se hace ni conci"
en,"the canon's servants, moaning all the wh"
es," leído,llevado de un ocioso y falso gust"
es,"llero, y yelmo de oro; que todas las cos"
es,e las estiman en más que lasde su nación
en, a mark. Dorothea said she wasquite sure
fr,"laga, dans les marchés de Ségovie, dans "
fr,ors du démêlé qu'il avait eu avecnotre h
es,"o, y lo mesmo hizo el de los Espejos. Pe"
en," heroically: ""Rabble! I carenothing for "
es,ecer a este historiador: que no seatreve
fr,"ue puisque son débiteur jurait, ilfallai"
fr,"timpossible de se dégager, et qu'il tomb"
fr,"e et Sancho, et il lui fut facile, on le"
es,luego fue a tomar las riendas de la mula
en,"uage, badethem welcome to the castle. He"
fr,"le, et Ulysse aussiprudent que le fait H"
